acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,report_name,company_id,company_name,creation_date,seq,stock
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,"2,293,865",,"2,293,865",,BalanceSheet,7067309,味王股份有限公司,2024-07-13,70,1203
流動資產,,,,,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,1,1210
現金及約當現金,"6,105,829",9.31,"5,174,870",8.52,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,2,1210
透過損益按公允價值衡量之金融資產－流動,"739,742",1.13,"23,278",0.04,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,3,1210
應收票據淨額,"1,533,804",2.34,"1,517,121",2.50,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,4,1210
應收帳款淨額,"6,494,583",9.90,"5,996,141",9.87,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,5,1210
應收帳款－關係人淨額,"18,188",0.03,"43,157",0.07,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,6,1210
存貨,"8,610,894",13.13,"9,076,281",14.95,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,7,1210
生物資產－流動,"2,187,505",3.33,"2,420,054",3.99,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,8,1210
預付款項,"2,030,538",3.10,"2,040,013",3.36,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,9,1210
其他流動資產,"1,272,269",1.94,"1,229,932",2.03,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,10,1210
流動資產合計,"28,993,352",44.20,"27,520,847",45.32,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,11,1210
非流動資產,,,,,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,12,1210
透過損益按公允價值衡量之金融資產－非流動,0,0.00,0,0.00,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,13,1210
透過其他綜合損益按公允價值衡量之金融資產－非流動,"2,725,306",4.15,"2,751,726",4.53,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,14,1210
採用權益法之投資,"1,767,712",2.69,"1,758,699",2.90,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,15,1210
不動產、廠房及設備,"25,589,171",39.01,"22,784,154",37.52,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,16,1210
使用權資產,"2,951,401",4.50,"1,870,859",3.08,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,17,1210
投資性不動產淨額,"600,530",0.92,"647,540",1.07,BalanceSheet,73008303,大成長城企業股份有限公司,2024-07-13,18,1210
